song_title,lyrics
Please Please Please," i know i have good judgment, i know i have good taste it's funny and it's ironic that only i feel that way i promise 'em that you're different and everyone makes mistakes but just don't i heard that you're an actor, so act like a stand-up guy whatever devil's inside you, don't let him out tonight i tell them it's just your culture and everyone rolls their eyes yeah, i know all i'm asking, baby  [chorus] please, please, please don't prove i'm right and please, pleasÐµ, please don't bring me to tÐµars when i just did my makeup so nice heartbreak is one thing, my ego's another i beg you, don't embarrass me, motherfucker, oh please, please, please (ah)  [verse 2] well, i have a fun idea, babe (uh-huh), maybe just stay inside i know you're cravin' some fresh air, but the ceiling fan is so nice (it's so nice, right?) and we could live so happily if no one knows that you're with me i'm just kidding, but really (kinda), really, really see sabrina carpenter liveget tickets as low as $133you might also like[chorus] please, please, please (please don't prove i'm right) don't prove i'm right and please, please, please don't bring me to tears when i just did my makeup so nice heartbreak is one thing (heartbreak is one thing), my ego's another (ego's another) i beg you, don't embarrass me, motherfucker, oh please, please, please (ah)  [outro] if you wanna go and be stupid don't do it in front of me if you don't wanna cry to my music don't make me hate you prolifically please, please, please (please) please, please, please (please) please (please), please (please), please (ah)1"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)," lyrics oh, your sweet disposition and my wide-eyed gaze we're singin' in the car, getting lost upstate autumn leaves fallin' down like pieces into place and i can picture it after all these days   'causÐµ there we arÐµ again on that little town street you almost ran the red 'cause you were lookin' over at me wind in my hair, i was there i remember it all too well   and i know it's long gone and there was nothing else i could do and i forget about you long enough to forget why i needed to   well, maybe we got lost in translation, maybe i asked for too much but maybe this thing was a masterpiece 'til you tore it all up runnin' scared, i was there i remember it all too well and you call me up again just to break me like a promise so casually cruel in the name of bein' honest i'm a crumpled-up piece of paper lyin' here 'cause i remember it all, all, all  time won't fly, it's like i'm paralyzed by it i'd like to be my old self again, but i'm still tryin' to find it after plaid shirt days and nights when you made me your own now you mail back my things and i walk home alone but you keep my old scarf from that very first week 'cause it reminds you of innocence and it smells like me you can't get rid of it 'cause you remember it all too well, yeah   and i was never good at tellin' jokes, but the punch line goes ""i'll get older, but your lovers stay my age"" from when your brooklyn broke my skin and bones i'm a soldier who's returning half her weight and did the twin flame bruise paint you blue? just between us, did the love affair maim you too? 'cause in this city's barren cold i still remember the first fall of snow and how it glistened as it fell i remember it all too well  [outro] just between us, did the love affair maim you all too well? just between us, do you remember it all too well? just between us, i remember it (just between us) all too well wind in my hair, i was there, i was there (i was there) down the stairs, i was there, i was there sacred prayer, i was there, i was there it was rare, you remember it all too well wind in my hair, i was there, i was there (oh) down the stairs, i was there, i was there (i was there) sacred prayer, i was there, i was there it was rare, you remember it (all too well) wind in my hair, i was there, i was there down the stairs, i was there, i was there sacred prayer, i was there, i was there it was rare, you remember it wind in my hair, i was there, i was there down the stairs, i was there, i was there sacred prayer, i was there, i was there it was rare, you remember it22"
Love Story (Taylorâ€™s Version)," we were both young when i first saw you i close my eyes and the flashback starts i'm standing there on a balcony in summer air see the lights, see the party, the ball gowns see you make your way through the crowd and say, ""hello"" little did i know   romeo, take me somewhere we can be alone i'll be waiting, all there's left to do is run you'll be the prince and i'll be the princess it's a love story, baby, just say, ""yes""   'cause you were romeo, i was a scarlet letter and my daddy said, ""stay away from juliet"" but you were everything to me i was begging you, ""please don't go,"" and i said   oh, oh   and i said, ""romeo, save me, i've been feeling so alone i keep waiting for you, but you never come is this in my head? i don't know what to think"" he knelt to the ground and pulled out a ring, and said ""marry me, juliet, you'll never have to be alone i love you and that's all i really know i talked to your dad, go pick out a white dress it's a love story, baby, just say, 'yes'"" [outro] oh, oh, oh oh, oh, oh 'cause we were both young when i first saw you4"
willow," i'm like the water when your ship rolled in that night rough on the surface, but you cut through like a knife and if it was an open-shut case i never would've known from that look on your face lost in your current like a priceless wine   life was a willow and it bent right to your wind head on the pillow, i could feel you sneakin' in as if you were a mythical thing like you were a trophy or a champion ring and there was one prize i'd cheat to win   life was a willow and it bent right to your wind they count me out time and time again life was a willow and it bent right to your wind but i come back stronger than a '9s trend   the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans, that's my man the more that you say, the less i know wherever you stray, i follow i'm begging for you to take my hand wreck my plans, that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans, that's my man [outro] hey, that's my man that's my man yeah, that's my man every bait-and-switch was a work of art that's my man hey, that's my man i'm begging for you to take my hand wreck my plans, that's my man11"
All Of The Girls You Loved Before," when you think of all the late nights lame fights over the phone wake up in theâ€…mornin'â€…with someone but feelin'â€…alone   yourâŸpast and mineâŸare parallel lines starsâŸall aligned and they intertwined and taught you the way you call me ""baby"" treat me like a lady all that i can say is   when i think of all the makeup fake love out on the town (ooh) cryin' in the bathroom for some dude whose name i cannot remember now   and just know that it's everything that made me now i call you ""baby"" it's why you're so amazing   your mother brought you up loyal and kind teenage love taught you there's good in goodbye every woman that you knew brought you here i wanna teach you how forever feels   (i love you more) (i love you more)1"
cardigan," vintage tee, brand new phone high heels on cobblestones when you are young, they assume you knowâ€…nothing sequinâ€…smile, black lipstick sensualâ€…politics when you are young, they assumeâ€…you know nothing   and when i felt like i was an old cardigan under someone's bed you put me on and said i was your favorite   but i knew you playing hide-and-seek and giving me your weekends, i i knew you your heartbeat on the high line once in twenty lifetimes, i   to kiss in cars and downtown bars was all we needed you drew stars around my scars but now i'm bleedin'   but i knew you'd linger like a tattoo kiss i knew you'd haunt all of my what-ifs the smell of smoke would hang around this long 'cause i knew everything when i was young i knew i'd curse you for the longest time chasin' shadows in the grocery line i knew you'd miss me once the thrill expired and you'd be standin' in my front porch light and i knew you'd come back to me you'd come back to me and you'd come back to me and you'd come back  [refrain] and when i felt like i was an old cardigan under someone's bed you put me on and said i was your favorite17"
As It Was," come on, harry, we wanna say goodnight to you   in this world, it's just us you know it's not the same as it was in this world, it's just us you know it's not the same as it was as it was, as it was you know it's not the same   in this world, it's just us you know it's not the same as it was in this world, it's just us you know it's not the same as it was as it was, as it was you know it's not the same   (hey) as it was you know it's not the same as it was as it was, as it was9"
Watermelon Sugar," tastes like strawberries on a summer evenin' and it sounds just like a song i want moreâ€…berriesâ€…and that summerâ€…feelin' it's so wonderful and warm   watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar   breathe me in, breathe me out i don't know if i could ever go without you might also like i just wanna taste it, i just wanna taste it watermelon sugar high   watermelon sugar high watermelon sugar high watermelon sugar high (sugar) watermelon sugar high (sugar) watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high [outro] i just wanna taste it, i just wanna taste it (eh-eh-eh) watermelon sugar high i just wanna taste it, i just wanna taste it (ooh, yeah) watermelon sugar high watermelon sugar11"
Adore You," walk in your rainbow paradise (paradise) strawberry lipstick state of mind (state of mind) i get soâ€…lostâ€…inside your eyes wouldâ€…you believe it?   honey (ah-ah-ah) i'd walk through fire for you just let me adore you oh, honey (ah-ah-ah) i'd walk through fire for you just let me adore you like it's the only thing i'll ever do like it's the only thing i'll ever do   you don't have to say you love me i just wanna tell you somethin' lately, you've been on my mind   it's the only thing i'll ever do it's the only thing i'll ever do it's the only thing i'll ever do it's the only thing i'll ever do it's the only thing i'll ever do it's the only thing i'll ever do it's the only thing i'll ever do it's the only thing i'll ever do   ooh, ooh oh, honey ooh, ooh just let me adore you like it's the only thing i'll ever do1"
Late Night Talking," things haven't been quite the same there's a haze on the horizon, babe it's only been a couple of days and i miss you, mmm, yeah when nothing really goes to plan you stub your toe or break your camera i'll do everything i can to help you through   we've been doin' all this late-night talkin' 'bout anything you want until the morning now you're in my life i can't get you off my mind   if you're feeling down, i just wanna make you happier, baby wish i was around, i just wanna make you happiÐµr, baby you might also like can't get you off my mind can't get you off my mind (can't get you off my mind) i won't even try (i won't even try) to get you off my mind (get you off my mind)   can't get you off my mind (all this late-night talking) can't get you off my mind (all this late-night talking) i won't even try (all this late-night talking) can't get you off myâ€” (all this late-night talking)2"
Wonder," i wonder if i'm being real do i speak my truth or do i filter how i feel? i wonder, wouldn't it be nice to live inside a world that isn't black and white? i wonder what it's like to be my friends hope that they don't think i'll forget about them i wonder, i wonder   i wonder why i'm so afraid of saying something wrong, i never said i was a saint i wonder, when i cry into my hands i'm conditioned to feel like it makes me less of a man and i wonder if someday you'll be by my side and tell me that the world will end up alright i wonder, i wonder see shawn mendes liveget tickets as low as $105you might also like i wonder what it's like to be loved by you, yeah i wonder what it's like to be loved by you i wonder what it's like to be loved byâ€”  [outro] right before i close my eyes the only thing that's on my mind been dreamin' that you feel it too i wonder what it's like to be loved by you5"
Flowers," we were good, we were gold kinda dream that can't be sold we were right 'til we weren't built a home and watched it burn   i can buy myself flowers write my name in the sand talk to myself for hours say things you don't understand i can take myself dancing and i can hold my own hand yeah, i can love me better than you can   paint my nails cherry-red match the roses that you left no remorse, no regret i forgive every word you said you might also like i can buy myself flowers write my name in the sand talk to myself for hours, yeah say things you don't understand i can take myself dancing, yeah i can hold my own hand yeah, i can love me better than you can   i didn't wanna leave you, i didn't wanna fight started to cry, but then remembered i   can love me better, i can love me better, baby (uh) can love me better, i can love me better, baby (than you can) can love me better, i can love me better, baby can love me better, i3"
Standing Next to You," standing next to you   you know that, all night long, we rock to this screaming, i testify this lovin' all night long, we flock to this screaming, i testify that we'll survive the test of time they can't deny our love they can't divide us we'll survive the test of time i promise i'll be right here   standing next to you standing next to you (you) standing next to you   you know that, all night long, we rock to this (oh) screaming, i testify this lovin' all night long, we flock to this (all night long) screaming, i testify that we'll survive the test of time they can't deny our love they can't divide us we'll survive the test of time i swear that i'll be right here   standing next to you (standing next to you) standing next to you (standing next to you, standing next to you) standing next to you, oh (standing next to you, standing next to you) hey (standing next to you, standing next to you) standing next to you (standing next to you)  [outro] bass and drums ooh woo standing next to you"
Seven,"weight of the world on your shoulders i kiss your waist and ease your mind i must be favored to know ya i take my hands and trace your lines  it's the way that you can ride it's the way that you can ride think i met you in another life so break me off another time  you wrap around me and you give me life and that's why night after night i'll be fuckin' you right  monday, tuesday, wednesday, thursday, friday, saturday, sunday monday, tuesday, wednesday, thursday, friday seven days a week every hour, every minute, every second you know night after night i'll be fuckin' you right seven days a week  you love when i jump right in all of me i'm offering show you what devotion is deeper than the ocean is  wind it back i'll take it slow leave you with that afterglow show you what devotion is deeper than the ocean is  it's the way that you can ride it's the way that you can ride think i met you in another life so break me off another time  you wrap around me and you give me life and that's why night after night i'll be fuckin' you right  monday, tuesday, wednesday, thursday, friday, saturday, sunday monday, tuesday, wednesday, thursday, friday seven days a week every hour, every minute, every second you know night after night i'll be fuckin' you right seven days a week  monday, tuesday, wednesday, thursday, friday, saturday, sunday monday, tuesday, wednesday, thursday, friday seven days a week every hour, every minute, every second you know night after night i'll be fuckin' you right seven days a week  tightly take control tightly take his soul take your phone, put it in the camera roll leave them clothes at the door what you waiting for, better come and hit ya goals  he jump in it both feet going to the sun-up, we ain't getting no sleep seven days a week, seven different sheets, seven different angles i can be your fantasy  open up, say ahhh come here, baby, let me swallow your pride what you on? i can match your vibe hit me up and i'mma cha cha slide  you make mondays feel like weekends i make him never think about cheatin' got you skipping work and meetings, fuck it, let's sleep in  seven days a week monday, tuesday, wednesday, thursday, friday, saturday, sunday monday, tuesday, wednesday, thursday, friday seven days a week every hour, every minute, every second you know night after night i'll be fuckin' you right seven days a week  monday, tuesday, wednesday, thursday, friday, saturday, sunday monday, tuesday, wednesday, thursday, friday seven days a week every hour every minute every second you know night after night i'll be fuckin' you right seven days a week"
Peaches," i got my peaches out in georgia (oh, yeah, shit) i get my weed from californiaâ€…(that'sâ€…that shit) i tookâ€…my chick up to the north,â€…yeah (badass bitch) i get my light right from the source, yeah (yeah, that's it)   i got my peaches out in georgia (oh, yeah, shit) i get my weed from california (that's that shit) i took my chick up to the north, yeah (badass bitch) i get my light right from the source, yeah (yeah, that's it)   i got my peaches out in georgia (oh, yeah, shit) i get my weed from california (that's that shit) i took my chick up to the north, yeah (badass bitch) i get my light right from the source, yeah (yeah, that's it)   i got my peaches out in georgia (oh, yeah, shit) i get my weed from california (that's that shit) i took my chick up to the north, yeah (badass bitch) i get my light right from the source, yeah (yeah, that's it) i got my peaches out in georgia (oh, yeah, shit) i get my weed from california (that's that shit) i took my chick up to the north, yeah (badass bitch) (i get my light right from the source, yeah, yeah, that's it) i got my peaches out in georgia (oh, yeah, shit) i get my weed from california (that's that shit) i took my chick up to the north, yeah (badass bitch) i get my light right from the source, yeah (yeah, that's it) i got my peaches out in georgia (oh, yeah, shit) i get my weed from california (that's that shit) i took my chick up to the north, yeah (badass bitch) i get my light right from the source, yeah (yeah, that's it)6"
Chemical," oxytocin makin' it all okay when i come back down, it doesn't feel the same now, i'm sittin' 'round waitin' for the world to end all day 'cause i couldn't leave you if i tried   outside of the party, smokin' in the car with you seven-nation army fightin' at the bar with you tell you that i'm sorry, tell me what i gotta do 'cause i can't let go, it's chemical no, i can't let go, it's chemical   you break me, then i break my rules last time was the last time too it's fucked up, i know, but i'm still, still see post malone liveget tickets as low as $25you might also like i can't let go, it's chemical ah-ah-ah, ah-ah-ah, ah-ah-ah  [outro] tell you that i'm sorry, tell me what i gotta do no, i can't let go, it's chemical"
Hold Me Closer," (hold me closer) (hold me closer) (hold me closer) (hold me closer)   hold me closer, tiny dancer count the headlights on the highway lay me down in sheets of linen you had a busy day today, oh   there are caravans we follow drunken nights in dark hotels, baby (yeah) when chances breathe between the silence where sex and love no longer gel, oh you might also like hold me closer hold me closer (baby, baby) hold me closer hold me closer (oh, yeah)   (hold me closer) (hold me closer) hold me closer (hold me closer) me closer, me closer (hold me closer) mm, yeah"
Hold On," you know you can call me if you need someone i'll pick up the pieces if you come undone   i need you to hold on heaven is a place not too far away we all know i should be the one to say we all make mistakes (we all make mistakes) take my hand and hold on tell me everything that you need to say 'cause i know how it feels to be someone (someone) feels to be someone who loses their way   painting stars up on your ceiling 'cause you wish that you could find some feeling, yeah, you you know you can call me if you need someone you might also like midnight 'til morning call if you need somebody i will be there for you (i will be there for you) midnight 'til morning call if you need somebody i will be there for you   midnight 'til morning call if you need somebody i will be there for you (oh, yeah, yeah) midnight 'til morning call if you need somebody i will be there for you2"
Anyone," dance with me under the diamonds see me like breath in the cold sleep with me hereâ€…inâ€…the silence come kissâ€…me, silver and gold   you are the only one i'll ever love (i gotta tell ya, gotta tell ya) yeah, you, if it's not you, it's not anyone (i gotta tell ya, gotta tell ya) lookin' back on my life, you're the only good i've ever done (ever done) yeah, you, if it's not you, it's not anyone (anyone) not anyone   you say that i won't lose you, but you can't predict the future 'cause certain things are out of our control yeah, if you ever move on without me i need to make sure you know that you might also like not anyone (oh-oh-oh-oh) if it's not you, it's not anyone (oh-oh-oh-oh) oh yeah, woah  [chorus] yeah, you are the only one i'll ever love (i gotta tell ya, gotta tell ya) yeah, you, if it's not you, it's not anyone (i gotta tell ya, gotta tell ya) lookin' back on my life, you're the only good i've ever done (ever done) yeah, you, if it's not you, it's not anyone3"
Prisoner," prisoner, prisoner, locked up can't get you off my mind, off my mind lord knows i tried a million times, million times, oh-woah why can't you, why can't you just let me go?   you keep making it harder to stay but i still can't run away i gotta know why can't you, why can't you just let me go?   i tasted heaven, now i can't live without it i can't forget you and your love is the loudest oh, i can't control it, i can't control it (can't control it)   prisoner, prisoner, locked up can't get you off my mind, off my mind lord knows i tried a million times, million times, oh-woah why can't you, why can't you just let me go? prisoner, prisoner, locked up can't get you off my mind, off my mind (off my mind) lord knows i tried a million times, million times, oh-woah why can't you, why can't you just let me go?   can't get you off my mind why can't you just let me go? million times i wanna know why can't you, why can't you i wanna know why can't you, why can't you i gotta know why can't you, why can't you just let me go?11"
Midnight Sky," la, la, la-la, la   the midnight sky is the road i'm takin' head high up in the clouds (oh, oh)   la, la, la-la, la you might also like the midnight sky is the road i'm takin' head high up in the clouds (oh, oh)   oh i don't hide blurry eyes like you like you   la, la, la-la, la la, la you know it's true, you know it's true loved by you1"
Unholy,"Mummy don't know daddy's getting hot
At the body shop
Doin' somethin' unholy
He like it, like it, yeah (Ooh)
He like it, like it, yeah (Yeah, yeah)
He like it, like it, yeah (Uh)
He like it, like it, yeah

A lucky, lucky girl
She got married to a boy like you
She'd kick you out if she ever, ever knew
'Bout all the ... you tell me that you do
Dirty, dirty boy
You know everyone is talkin' on the scene
I hear them whisperin' 'bout the places that you've been
And how you don't know how to keep your business clean

Mummy don't know daddy's getting hot
At the body shop
Doin' somethin' unholy
He's sat back while she's droppin' it
She be poppin' it
Yeah, she put it down slowly
Oh-ee-oh-ee-oh, he left his kids at
Ho-ee-oh-ee-ome so he can get that
Mummy don't know daddy's getting hot
At the body shop
Doin' somethin' unholy (Woo)

Mm, daddy, daddy, if you want it, drop the addy (Yeah, yeah)
Give me love, give me Fendi, my Balenciaga daddy
You gon' need to bag it up 'cause I'm spendin' on Rodeo (Woo)
You can watch me back it up, I'll be gone in the A.M. (Yeah)
And he, he get me Prada, get me Miu Miu like Rihanna (Ah)
He always call me 'cause I never cause no drama
And when you want it, baby, I know I got you covered
And when you need it, baby, just jump under the covers (Yeah)

Mummy don't know daddy's getting hot (Hot)
At the body shop (Shop)
Doin' somethin' unholy
He's sat back while she's droppin' it (She)
She be poppin' it (She)
Yeah, she put it down slowly
Oh-ee-oh-ee-oh, he left his kids at
Ho-ee-oh-ee-ome so he can get that
Mummy don't know daddy's getting hot
At the body shop (Ah)
Doin' somethin' unholy (Unholy)

Oh-oh, oh-ee-oh-ee, ee-oh (Unholy)
Oh-oh, oh-ee-oh-ee, ee-oh (Unholy)
Oh-oh, oh-ee-oh-ee, ee-oh (Yeah, yeah)
Oh-oh, oh-ee-oh-ee, ee-oh"
Die For You," i'm findin' ways to articulate the feelin' i'm goin' through i just can't say i don't love you (yeah) 'cause i love you, yeah it's hard for me to communicate the thoughts that i hold but tonight, i'm gon' let you know let me tell the truth baby, let me tell the truth, yeah   even though we'rÐµ goin' through it (ah) and it makes you feel alone just know that i would die for you (ooh, ooh) baby, i would die for you, yeah the distance and the time between us (distance and the time) it'll never change my mind 'cause baby, i would die for you (i would die for you) baby, i would die for you, yeah you might also like you know what i'm thinkin', see it in your eyes you hate that you want me, hate it when you cry it ain't workin' 'cause you're perfect (mm) and i know you deserve it i can't walk away   i would die for you, i would lie for you keep it real with you, i would kill for you, my baby i'm just sayin', yeah i would die for you, i would lie for you keep it real with you, i would kill for you, my baby na-na-na, na-na-na, na-na-na   even though we're goin' through it (ooh) and it makes you feel alone (no, no) just know that i would die for you (no) baby, i would die for you, yeah the distance and the time between us (ooh) it'll never change my mind 'cause (no, no) baby, i would die for you (no) baby, i would die for you, yeah (oh, babe)1"
LOVE AGAIN," can we go back to how it was? before my pride got in between us go ahead and hit me where it hurts because at least, then i'll feel something   can we find love again? is this time the end? tell me, how many more tears will drop till you hit me with ""can we talk?"" and try love again can we find love again? is this time the end? tell me, how many more tears will drop till you hit mÐµ with ""can we talk?"" and try love again   screaming in my face kicked me out your place i got nowhere to go  [chorus] can we find love again? is this time the end? tell me, how many more tears will drop till you hit me with ""can we talk?"" and try love again can we find love again? is this time the end? tell me, how many more tears will drop till you hit me with ""can we talk?"" and try love again"
Ghost," youngblood thinks there's always tomorrow i miss your touch some nights when i'm hollow i know you crossed a bridge that i can't follow since the love that you left is all that iâŸget,âŸiâŸwant you toâŸknow   youngblood thinks there's always tomorrow i need more time, but time can't be borrowed i'd leave it all behind if i could follow since the love that you left is all that i get, i want you to know   woah na-na-na more than life (oh)  [chorus] so if i can't get close to you i'll settle for the ghost of you i miss you more than life and if you can't be next to me your memory is ecstasy i miss you more than life i miss you more than life1"
